num_corre,dia_ocu,ano_ocu,hora_ocu,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,area_geo_ocu,sexo_per,zona_ocu,edad_per,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,anio
125,5,2016,19,1,2,801,8,2,1,99,23,2,1,4,76,5,9999,1,3,3,5,4,3,6,2016
126,5,2016,19,1,2,801,8,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
127,5,2016,20,1,2,1801,18,2,1,99,23,9,1,4,6,99,2016,4,3,3,5,4,3,5,2016
128,6,2016,23,1,3,101,1,1,1,7,29,2,1,1,999,5,2002,1,4,4,6,4,3,4,2016
129,6,2016,23,1,3,101,1,1,1,7,38,1,1,3,69,5,9999,1,6,6,8,4,3,6,2016
130,6,2016,22,1,3,112,1,1,1,99,30,1,1,3,48,5,1994,1,5,5,7,4,3,3,2016
131,6,2016,22,1,3,112,1,1,1,99,53,1,1,1,28,99,2015,1,9,9,11,4,3,5,2016
132,6,2016,19,1,3,1901,19,2,1,99,25,2,1,2,69,99,9999,1,4,4,6,4,3,6,2016
133,6,2016,18,1,3,501,5,2,1,99,31,2,1,16,56,1,9999,1,5,5,7,4,3,6,2016
134,6,2016,19,1,3,1102,11,2,1,99,59,1,1,6,30,99,9999,1,10,10,12,4,3,6,2016
135,6,2016,19,1,3,1102,11,2,1,99,22,1,1,4,999,5,9999,1,3,3,5,4,3,6,2016
136,6,2016,7,1,3,917,9,2,1,99,23,1,1,9,56,1,2011,1,3,3,5,2,1,5,2016
137,7,2016,8,1,4,101,1,1,1,9,45,1,1,2,27,4,2004,1,8,8,10,2,1,4,2016
138,7,2016,8,1,4,101,1,1,1,9,68,1,1,4,27,1,2003,1,12,11,14,2,1,4,2016
139,7,2016,6,1,4,101,1,1,1,18,42,1,1,6,999,3,2013,1,7,7,9,2,1,5,2016
140,7,2016,6,1,4,101,1,1,2,18,39,1,1,1,69,1,9999,1,6,6,8,2,1,6,2016
141,7,2016,2,1,4,101,1,1,1,11,28,9,1,4,6,1,9999,2,4,4,6,1,1,6,2016
142,7,2016,16,1,4,109,1,1,1,99,34,1,1,5,26,2,2016,1,5,5,7,3,2,5,2016
143,7,2016,16,1,4,109,1,1,1,99,20,1,1,4,6,1,9999,1,3,3,5,3,2,6,2016
144,7,2016,21,1,4,501,5,2,1,99,40,9,1,3,69,99,9999,1,7,7,9,4,3,6,2016
145,7,2016,21,1,4,501,5,2,9,99,999,9,9,5,999,1,9999,1,16,12,18,4,3,6,2016
146,7,2016,20,1,4,501,5,2,1,99,25,1,1,4,999,99,9999,1,4,4,6,4,3,6,2016
147,7,2016,20,1,4,501,5,2,9,99,999,9,9,99,999,99,9999,1,16,12,18,4,3,6,2016
148,7,2016,19,1,4,1503,15,1,1,99,58,2,1,3,69,11,1984,2,10,10,12,4,3,2,2016
149,7,2016,19,1,4,1503,15,1,9,99,999,9,9,2,69,99,1990,2,16,12,18,4,3,3,2016
150,7,2016,17,1,4,1703,17,2,1,99,31,2,1,1,27,5,1994,2,5,5,7,3,2,3,2016
