num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,anio
9028,2018,22,17,3,2,12,6,102,1,99,1,32,5,5,7,9,1,2,41,10,2014,5,1,2018
9029,2018,22,17,3,2,12,6,102,1,99,1,75,14,11,16,9,1,4,32,2,9999,99,1,2018
9030,2018,22,16,3,2,12,6,608,6,99,1,41,7,7,9,9,1,5,999,1,9999,99,1,2018
9031,2018,22,16,3,2,12,6,608,6,99,1,24,3,3,5,9,1,4,32,99,9999,99,1,2018
9032,2018,22,15,3,2,12,6,102,1,99,2,35,6,6,8,9,1,2,41,10,9999,99,1,2018
9033,2018,22,15,3,2,12,6,102,1,99,1,22,3,3,5,9,1,4,27,1,9999,99,1,2018
9034,2018,22,21,4,3,12,6,101,1,2,1,34,5,5,7,9,1,1,69,11,2008,4,1,2018
9035,2018,22,21,4,3,12,6,101,1,2,1,28,4,4,6,9,1,4,6,3,2017,5,1,2018
9036,2018,22,6,2,1,12,6,506,5,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9037,2018,22,6,2,1,12,6,506,5,99,1,20,3,3,5,9,1,4,999,99,9999,99,1,2018
9038,2018,22,4,1,1,12,6,102,1,99,1,52,9,9,11,9,1,1,999,99,9999,99,2,2018
9039,2018,22,20,4,3,12,6,110,1,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9040,2018,22,20,4,3,12,6,110,1,99,1,25,4,4,6,9,1,4,999,99,9999,99,1,2018
9041,2018,22,21,4,3,12,6,901,9,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9042,2018,22,21,4,3,12,6,901,9,99,1,24,3,3,5,9,1,4,999,99,9999,99,1,2018
9043,2018,22,4,1,1,12,6,207,2,99,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9044,2018,22,4,1,1,12,6,207,2,99,1,32,5,5,7,9,1,4,999,99,9999,99,1,2018
9045,2018,22,22,4,3,12,6,101,1,7,1,40,7,7,9,9,1,1,999,99,9999,99,2,2018
9046,2018,22,10,2,1,12,6,115,1,99,2,25,4,4,6,9,1,12,30,7,9999,99,2,2018
9047,2018,22,13,3,2,12,6,114,1,99,1,29,4,4,6,9,1,4,999,99,9999,99,2,2018
9048,2018,23,6,2,1,12,7,101,1,2,1,26,4,4,6,9,1,4,64,3,9999,99,1,2018
9049,2018,23,6,2,1,12,7,101,1,2,1,999,16,12,18,9,1,1,999,99,9999,99,1,2018
9050,2018,2,17,3,2,12,7,106,1,99,1,30,5,5,7,1,1,1,27,1,1993,3,2,2018
9051,2018,23,6,2,1,12,7,115,1,99,1,999,16,12,18,9,1,1,69,1,9999,99,2,2018
9052,2018,23,2,1,1,12,7,117,1,99,2,22,3,3,5,9,1,4,999,99,9999,99,4,2018
9053,2018,23,16,3,2,12,7,101,1,9,1,22,3,3,5,2,1,4,87,2,2013,5,1,2018
9054,2018,23,16,3,2,12,7,101,1,9,1,29,4,4,6,9,1,1,69,10,1996,3,1,2018
9055,2018,23,0,1,1,12,7,1416,14,99,1,16,2,2,4,9,2,4,6,1,9999,99,1,2018
9056,2018,23,0,1,1,12,7,1416,14,99,1,999,16,12,18,9,1,1,69,1,9999,99,1,2018
9057,2018,23,10,2,1,12,7,1021,10,99,1,49,8,8,10,9,1,1,10,1,1999,3,1,2018
9058,2018,23,10,2,1,12,7,1021,10,99,1,17,2,2,4,9,2,4,27,5,9999,99,1,2018
